model,setting,regime,condition,n,accuracy,ci_lo,ci_hi
claude-sonnet-4.5,arith_b10,elicitation,no_skill,60,0.983,0.95,1.0
claude-sonnet-4.5,arith_b10,elicitation,correct_skill,60,0.967,0.917,1.0
claude-sonnet-4.5,arith_b10,elicitation,self_gen_skill,60,0.983,0.95,1.0
claude-sonnet-4.5,arith_b10,elicitation,length_control,60,0.95,0.883,1.0
claude-sonnet-4.5,arith_b9,novelty_procedure,no_skill,60,0.85,0.75,0.933
claude-sonnet-4.5,arith_b9,novelty_procedure,correct_skill,60,0.883,0.8,0.95
claude-sonnet-4.5,arith_b9,novelty_procedure,self_gen_skill,60,0.25,0.15,0.367
claude-sonnet-4.5,arith_b9,novelty_procedure,length_control,60,0.85,0.75,0.933
claude-sonnet-4.5,arith_b11,novelty_procedure,no_skill,60,0.767,0.65,0.867
claude-sonnet-4.5,arith_b11,novelty_procedure,correct_skill,60,0.683,0.567,0.8
claude-sonnet-4.5,arith_b11,novelty_procedure,self_gen_skill,60,0.767,0.65,0.867
claude-sonnet-4.5,arith_b11,novelty_procedure,length_control,60,0.75,0.633,0.85
claude-sonnet-4.5,vocab_es,elicitation,no_skill,60,0.95,0.883,1.0
claude-sonnet-4.5,vocab_es,elicitation,correct_skill,60,1.0,1.0,1.0
claude-sonnet-4.5,vocab_es,elicitation,self_gen_skill,60,1.0,1.0,1.0
claude-sonnet-4.5,vocab_es,elicitation,length_control,60,0.95,0.883,1.0
claude-sonnet-4.5,vocab_zeth,novelty_information,no_skill,60,0.0,0.0,0.0
claude-sonnet-4.5,vocab_zeth,novelty_information,correct_skill,60,1.0,1.0,1.0
claude-sonnet-4.5,vocab_zeth,novelty_information,self_gen_skill,60,0.0,0.0,0.0
claude-sonnet-4.5,vocab_zeth,novelty_information,length_control,60,0.0,0.0,0.0
gpt-4.1,arith_b10,elicitation,no_skill,60,0.417,0.3,0.533
gpt-4.1,arith_b10,elicitation,correct_skill,60,0.7,0.583,0.817
gpt-4.1,arith_b10,elicitation,self_gen_skill,60,0.367,0.25,0.483
gpt-4.1,arith_b10,elicitation,length_control,60,0.25,0.15,0.367
gpt-4.1,arith_b9,novelty_procedure,no_skill,60,0.0,0.0,0.0
gpt-4.1,arith_b9,novelty_procedure,correct_skill,60,0.0,0.0,0.0
gpt-4.1,arith_b9,novelty_procedure,self_gen_skill,60,0.0,0.0,0.0
gpt-4.1,arith_b9,novelty_procedure,length_control,60,0.0,0.0,0.0
gpt-4.1,arith_b11,novelty_procedure,no_skill,60,0.017,0.0,0.05
gpt-4.1,arith_b11,novelty_procedure,correct_skill,60,0.0,0.0,0.0
gpt-4.1,arith_b11,novelty_procedure,self_gen_skill,60,0.0,0.0,0.0
gpt-4.1,arith_b11,novelty_procedure,length_control,60,0.017,0.0,0.05
gpt-4.1,vocab_es,elicitation,no_skill,60,0.917,0.833,0.983
gpt-4.1,vocab_es,elicitation,correct_skill,60,1.0,1.0,1.0
gpt-4.1,vocab_es,elicitation,self_gen_skill,60,0.85,0.75,0.933
gpt-4.1,vocab_es,elicitation,length_control,60,0.917,0.85,0.983
gpt-4.1,vocab_zeth,novelty_information,no_skill,60,0.0,0.0,0.0
gpt-4.1,vocab_zeth,novelty_information,correct_skill,60,1.0,1.0,1.0
gpt-4.1,vocab_zeth,novelty_information,self_gen_skill,60,0.0,0.0,0.0
gpt-4.1,vocab_zeth,novelty_information,length_control,60,0.0,0.0,0.0
